,AB,Player,Pos
0,1,"Carrasco, C",P
1,1,"Pinder, B",P
2,3,"Brett, R",2B
3,3,"Masterson, J",P
4,3,"Pelfrey, M",P
5,2,"Bandy, J",C
6,2,"Feldman, S",P
7,4,"Gallardo, Y",P
8,2,"Noel, R",CF
9,2,"Norris, D",P
10,2,"Nuno, V",P
11,2,"Rodriguez, W",P
12,2,"Samardzija, J",P
13,2,"Wright, Jr., D",P
14,4,"Young, C",P
15,5,"Anderson, B",C
16,25,"Heathcott, S",CF
17,15,"Stassi, M",C
18,8,"Duffy, M",3B
19,429,"Cabrera, M",1B
20,3,"Chavez, J",P
21,6,"Estrada, M",P
22,3,"Fields, D",LF
23,3,"Hamels, C",P
24,6,"Marte, A",LF
25,9,"Weeks, J",2B
26,6,"Wilson, C",P
27,333,"Colabello, C",1B
28,613,"Bogaerts, X",SS
29,226,"Revere, B",LF
30,19,"Aguilar, J",1B
31,38,"Wilson, J",2B
32,638,"Altuve, J",2B
33,67,"Blanks, K",1B
34,390,"Lindor, F",SS
35,529,"Brantley, M",LF
36,71,"Arencibia, J",C
37,551,"Cain, L",CF
38,613,"Fielder, P",DH
39,23,"Barney, D",2B
40,217,"Travis, D",2B
41,565,"Kipnis, J",2B
42,43,"Refsnyder, R",2B
43,590,"Cruz, N",DH
44,173,"Raburn, R",LF
45,416,"Iglesias, J",SS
46,10,"Polanco, J",SS
47,575,"Trout, M",CF
48,599,"Hosmer, E",1B
49,620,"Donaldson, J",3B
0,1,"Carrasco, C",P
1,1,"Pinder, B",P
2,3,"Brett, R",2B
3,3,"Masterson, J",P
4,3,"Pelfrey, M",P
5,2,"Bandy, J",C
6,2,"Feldman, S",P
7,4,"Gallardo, Y",P
8,2,"Noel, R",CF
9,2,"Norris, D",P
10,2,"Nuno, V",P
11,2,"Rodriguez, W",P
12,2,"Samardzija, J",P
13,2,"Wright, Jr., D",P
14,4,"Young, C",P
15,5,"Anderson, B",C
16,25,"Heathcott, S",CF
17,15,"Stassi, M",C
18,8,"Duffy, M",3B
19,429,"Cabrera, M",1B
20,3,"Chavez, J",P
21,6,"Estrada, M",P
22,3,"Fields, D",LF
23,3,"Hamels, C",P
24,6,"Marte, A",LF
25,9,"Weeks, J",2B
26,6,"Wilson, C",P
27,333,"Colabello, C",1B
28,613,"Bogaerts, X",SS
29,226,"Revere, B",LF
30,19,"Aguilar, J",1B
31,38,"Wilson, J",2B
32,638,"Altuve, J",2B
33,67,"Blanks, K",1B
34,390,"Lindor, F",SS
35,529,"Brantley, M",LF
36,71,"Arencibia, J",C
37,551,"Cain, L",CF
38,613,"Fielder, P",DH
39,23,"Barney, D",2B
40,217,"Travis, D",2B
41,565,"Kipnis, J",2B
42,43,"Refsnyder, R",2B
43,590,"Cruz, N",DH
44,173,"Raburn, R",LF
45,416,"Iglesias, J",SS
46,10,"Polanco, J",SS
47,575,"Trout, M",CF
48,599,"Hosmer, E",1B
49,620,"Donaldson, J",3B
0,1,"Carrasco, C",P
1,1,"Pinder, B",P
2,3,"Brett, R",2B
3,3,"Masterson, J",P
4,3,"Pelfrey, M",P
5,2,"Bandy, J",C
6,2,"Feldman, S",P
7,4,"Gallardo, Y",P
8,2,"Noel, R",CF
9,2,"Norris, D",P
10,2,"Nuno, V",P
11,2,"Rodriguez, W",P
12,2,"Samardzija, J",P
13,2,"Wright, Jr., D",P
14,4,"Young, C",P
15,5,"Anderson, B",C
16,25,"Heathcott, S",CF
17,15,"Stassi, M",C
18,8,"Duffy, M",3B
19,429,"Cabrera, M",1B
20,3,"Chavez, J",P
21,6,"Estrada, M",P
22,3,"Fields, D",LF
23,3,"Hamels, C",P
24,6,"Marte, A",LF
25,9,"Weeks, J",2B
26,6,"Wilson, C",P
27,333,"Colabello, C",1B
28,613,"Bogaerts, X",SS
29,226,"Revere, B",LF
30,19,"Aguilar, J",1B
31,38,"Wilson, J",2B
32,638,"Altuve, J",2B
33,67,"Blanks, K",1B
34,390,"Lindor, F",SS
35,529,"Brantley, M",LF
36,71,"Arencibia, J",C
37,551,"Cain, L",CF
38,613,"Fielder, P",DH
39,23,"Barney, D",2B
40,217,"Travis, D",2B
41,565,"Kipnis, J",2B
42,43,"Refsnyder, R",2B
43,590,"Cruz, N",DH
44,173,"Raburn, R",LF
45,416,"Iglesias, J",SS
46,10,"Polanco, J",SS
47,575,"Trout, M",CF
48,599,"Hosmer, E",1B
49,620,"Donaldson, J",3B
0,1,"Carrasco, C",P
1,1,"Pinder, B",P
2,3,"Brett, R",2B
3,3,"Masterson, J",P
4,3,"Pelfrey, M",P
5,2,"Bandy, J",C
6,2,"Feldman, S",P
7,4,"Gallardo, Y",P
8,2,"Noel, R",CF
9,2,"Norris, D",P
10,2,"Nuno, V",P
11,2,"Rodriguez, W",P
12,2,"Samardzija, J",P
13,2,"Wright, Jr., D",P
14,4,"Young, C",P
15,5,"Anderson, B",C
16,25,"Heathcott, S",CF
17,15,"Stassi, M",C
18,8,"Duffy, M",3B
19,429,"Cabrera, M",1B
20,3,"Chavez, J",P
21,6,"Estrada, M",P
22,3,"Fields, D",LF
23,3,"Hamels, C",P
24,6,"Marte, A",LF
25,9,"Weeks, J",2B
26,6,"Wilson, C",P
27,333,"Colabello, C",1B
28,613,"Bogaerts, X",SS
29,226,"Revere, B",LF
30,19,"Aguilar, J",1B
31,38,"Wilson, J",2B
32,638,"Altuve, J",2B
33,67,"Blanks, K",1B
34,390,"Lindor, F",SS
35,529,"Brantley, M",LF
36,71,"Arencibia, J",C
37,551,"Cain, L",CF
38,613,"Fielder, P",DH
39,23,"Barney, D",2B
40,217,"Travis, D",2B
41,565,"Kipnis, J",2B
42,43,"Refsnyder, R",2B
43,590,"Cruz, N",DH
44,173,"Raburn, R",LF
45,416,"Iglesias, J",SS
46,10,"Polanco, J",SS
47,575,"Trout, M",CF
48,599,"Hosmer, E",1B
49,620,"Donaldson, J",3B
0,1,"Carrasco, C",P
1,1,"Pinder, B",P
2,3,"Brett, R",2B
3,3,"Masterson, J",P
4,3,"Pelfrey, M",P
5,2,"Bandy, J",C
6,2,"Feldman, S",P
7,4,"Gallardo, Y",P
8,2,"Noel, R",CF
9,2,"Norris, D",P
10,2,"Nuno, V",P
11,2,"Rodriguez, W",P
12,2,"Samardzija, J",P
13,2,"Wright, Jr., D",P
14,4,"Young, C",P
15,5,"Anderson, B",C
16,25,"Heathcott, S",CF
17,15,"Stassi, M",C
18,8,"Duffy, M",3B
19,429,"Cabrera, M",1B
20,3,"Chavez, J",P
21,6,"Estrada, M",P
22,3,"Fields, D",LF
23,3,"Hamels, C",P
24,6,"Marte, A",LF
25,9,"Weeks, J",2B
26,6,"Wilson, C",P
27,333,"Colabello, C",1B
28,613,"Bogaerts, X",SS
29,226,"Revere, B",LF
30,19,"Aguilar, J",1B
31,38,"Wilson, J",2B
32,638,"Altuve, J",2B
33,67,"Blanks, K",1B
34,390,"Lindor, F",SS
35,529,"Brantley, M",LF
36,71,"Arencibia, J",C
37,551,"Cain, L",CF
38,613,"Fielder, P",DH
39,23,"Barney, D",2B
40,217,"Travis, D",2B
41,565,"Kipnis, J",2B
42,43,"Refsnyder, R",2B
43,590,"Cruz, N",DH
44,173,"Raburn, R",LF
45,416,"Iglesias, J",SS
46,10,"Polanco, J",SS
47,575,"Trout, M",CF
48,599,"Hosmer, E",1B
49,620,"Donaldson, J",3B
0,1,"Carrasco, C",P
1,1,"Pinder, B",P
2,3,"Brett, R",2B
3,3,"Masterson, J",P
4,3,"Pelfrey, M",P
5,2,"Bandy, J",C
6,2,"Feldman, S",P
7,4,"Gallardo, Y",P
8,2,"Noel, R",CF
9,2,"Norris, D",P
10,2,"Nuno, V",P
11,2,"Rodriguez, W",P
12,2,"Samardzija, J",P
13,2,"Wright, Jr., D",P
14,4,"Young, C",P
15,5,"Anderson, B",C
16,25,"Heathcott, S",CF
17,15,"Stassi, M",C
18,8,"Duffy, M",3B
19,429,"Cabrera, M",1B
20,3,"Chavez, J",P
21,6,"Estrada, M",P
22,3,"Fields, D",LF
23,3,"Hamels, C",P
24,6,"Marte, A",LF
25,9,"Weeks, J",2B
26,6,"Wilson, C",P
27,333,"Colabello, C",1B
28,613,"Bogaerts, X",SS
29,226,"Revere, B",LF
30,19,"Aguilar, J",1B
31,38,"Wilson, J",2B
32,638,"Altuve, J",2B
33,67,"Blanks, K",1B
34,390,"Lindor, F",SS
35,529,"Brantley, M",LF
36,71,"Arencibia, J",C
37,551,"Cain, L",CF
38,613,"Fielder, P",DH
39,23,"Barney, D",2B
40,217,"Travis, D",2B
41,565,"Kipnis, J",2B
42,43,"Refsnyder, R",2B
43,590,"Cruz, N",DH
44,173,"Raburn, R",LF
45,416,"Iglesias, J",SS
46,10,"Polanco, J",SS
47,575,"Trout, M",CF
48,599,"Hosmer, E",1B
49,620,"Donaldson, J",3B
0,1,"Carrasco, C",P
1,1,"Pinder, B",P
2,3,"Brett, R",2B
3,3,"Masterson, J",P
4,3,"Pelfrey, M",P
5,2,"Bandy, J",C
6,2,"Feldman, S",P
7,4,"Gallardo, Y",P
8,2,"Noel, R",CF
9,2,"Norris, D",P
10,2,"Nuno, V",P
11,2,"Rodriguez, W",P
12,2,"Samardzija, J",P
13,2,"Wright, Jr., D",P
14,4,"Young, C",P
15,5,"Anderson, B",C
16,25,"Heathcott, S",CF
17,15,"Stassi, M",C
18,8,"Duffy, M",3B
19,429,"Cabrera, M",1B
20,3,"Chavez, J",P
21,6,"Estrada, M",P
22,3,"Fields, D",LF
23,3,"Hamels, C",P
24,6,"Marte, A",LF
25,9,"Weeks, J",2B
26,6,"Wilson, C",P
27,333,"Colabello, C",1B
28,613,"Bogaerts, X",SS
29,226,"Revere, B",LF
30,19,"Aguilar, J",1B
31,38,"Wilson, J",2B
32,638,"Altuve, J",2B
33,67,"Blanks, K",1B
34,390,"Lindor, F",SS
35,529,"Brantley, M",LF
36,71,"Arencibia, J",C
37,551,"Cain, L",CF
38,613,"Fielder, P",DH
39,23,"Barney, D",2B
40,217,"Travis, D",2B
41,565,"Kipnis, J",2B
42,43,"Refsnyder, R",2B
43,590,"Cruz, N",DH
44,173,"Raburn, R",LF
45,416,"Iglesias, J",SS
46,10,"Polanco, J",SS
47,575,"Trout, M",CF
48,599,"Hosmer, E",1B
49,620,"Donaldson, J",3B
0,1,"Carrasco, C",P
1,1,"Pinder, B",P
2,3,"Brett, R",2B
3,3,"Masterson, J",P
4,3,"Pelfrey, M",P
5,2,"Bandy, J",C
6,2,"Feldman, S",P
7,4,"Gallardo, Y",P
8,2,"Noel, R",CF
9,2,"Norris, D",P
10,2,"Nuno, V",P
11,2,"Rodriguez, W",P
12,2,"Samardzija, J",P
13,2,"Wright, Jr., D",P
14,4,"Young, C",P
15,5,"Anderson, B",C
16,25,"Heathcott, S",CF
17,15,"Stassi, M",C
18,8,"Duffy, M",3B
19,429,"Cabrera, M",1B
20,3,"Chavez, J",P
21,6,"Estrada, M",P
22,3,"Fields, D",LF
23,3,"Hamels, C",P
24,6,"Marte, A",LF
25,9,"Weeks, J",2B
26,6,"Wilson, C",P
27,333,"Colabello, C",1B
28,613,"Bogaerts, X",SS
29,226,"Revere, B",LF
30,19,"Aguilar, J",1B
31,38,"Wilson, J",2B
32,638,"Altuve, J",2B
33,67,"Blanks, K",1B
34,390,"Lindor, F",SS
35,529,"Brantley, M",LF
36,71,"Arencibia, J",C
37,551,"Cain, L",CF
38,613,"Fielder, P",DH
39,23,"Barney, D",2B
40,217,"Travis, D",2B
41,565,"Kipnis, J",2B
42,43,"Refsnyder, R",2B
43,590,"Cruz, N",DH
44,173,"Raburn, R",LF
45,416,"Iglesias, J",SS
46,10,"Polanco, J",SS
47,575,"Trout, M",CF
48,599,"Hosmer, E",1B
49,620,"Donaldson, J",3B
0,1,"Carrasco, C",P
1,1,"Pinder, B",P
2,3,"Brett, R",2B
3,3,"Masterson, J",P
4,3,"Pelfrey, M",P
5,2,"Bandy, J",C
6,2,"Feldman, S",P
7,4,"Gallardo, Y",P
8,2,"Noel, R",CF
9,2,"Norris, D",P
10,2,"Nuno, V",P
11,2,"Rodriguez, W",P
12,2,"Samardzija, J",P
13,2,"Wright, Jr., D",P
14,4,"Young, C",P
15,5,"Anderson, B",C
16,25,"Heathcott, S",CF
17,15,"Stassi, M",C
18,8,"Duffy, M",3B
19,429,"Cabrera, M",1B
20,3,"Chavez, J",P
21,6,"Estrada, M",P
22,3,"Fields, D",LF
23,3,"Hamels, C",P
24,6,"Marte, A",LF
25,9,"Weeks, J",2B
26,6,"Wilson, C",P
27,333,"Colabello, C",1B
28,613,"Bogaerts, X",SS
29,226,"Revere, B",LF
30,19,"Aguilar, J",1B
31,38,"Wilson, J",2B
32,638,"Altuve, J",2B
33,67,"Blanks, K",1B
34,390,"Lindor, F",SS
35,529,"Brantley, M",LF
36,71,"Arencibia, J",C
37,551,"Cain, L",CF
38,613,"Fielder, P",DH
39,23,"Barney, D",2B
40,217,"Travis, D",2B
41,565,"Kipnis, J",2B
42,43,"Refsnyder, R",2B
43,590,"Cruz, N",DH
44,173,"Raburn, R",LF
45,416,"Iglesias, J",SS
46,10,"Polanco, J",SS
47,575,"Trout, M",CF
48,599,"Hosmer, E",1B
49,620,"Donaldson, J",3B
0,1,"Carrasco, C",P
1,1,"Pinder, B",P
2,3,"Brett, R",2B
3,3,"Masterson, J",P
4,3,"Pelfrey, M",P
5,2,"Bandy, J",C
6,2,"Feldman, S",P
7,4,"Gallardo, Y",P
8,2,"Noel, R",CF
9,2,"Norris, D",P
10,2,"Nuno, V",P
11,2,"Rodriguez, W",P
12,2,"Samardzija, J",P
13,2,"Wright, Jr., D",P
14,4,"Young, C",P
15,5,"Anderson, B",C
16,25,"Heathcott, S",CF
17,15,"Stassi, M",C
18,8,"Duffy, M",3B
19,429,"Cabrera, M",1B
20,3,"Chavez, J",P
21,6,"Estrada, M",P
22,3,"Fields, D",LF
23,3,"Hamels, C",P
24,6,"Marte, A",LF
25,9,"Weeks, J",2B
26,6,"Wilson, C",P
27,333,"Colabello, C",1B
28,613,"Bogaerts, X",SS
29,226,"Revere, B",LF
30,19,"Aguilar, J",1B
31,38,"Wilson, J",2B
32,638,"Altuve, J",2B
33,67,"Blanks, K",1B
34,390,"Lindor, F",SS
35,529,"Brantley, M",LF
36,71,"Arencibia, J",C
37,551,"Cain, L",CF
38,613,"Fielder, P",DH
39,23,"Barney, D",2B
40,217,"Travis, D",2B
41,565,"Kipnis, J",2B
42,43,"Refsnyder, R",2B
43,590,"Cruz, N",DH
44,173,"Raburn, R",LF
45,416,"Iglesias, J",SS
46,10,"Polanco, J",SS
47,575,"Trout, M",CF
48,599,"Hosmer, E",1B
49,620,"Donaldson, J",3B
0,1,"Carrasco, C",P
1,1,"Pinder, B",P
2,3,"Brett, R",2B
3,3,"Masterson, J",P
4,3,"Pelfrey, M",P
5,2,"Bandy, J",C
6,2,"Feldman, S",P
7,4,"Gallardo, Y",P
8,2,"Noel, R",CF
9,2,"Norris, D",P
10,2,"Nuno, V",P
11,2,"Rodriguez, W",P
12,2,"Samardzija, J",P
13,2,"Wright, Jr., D",P
14,4,"Young, C",P
15,5,"Anderson, B",C
16,25,"Heathcott, S",CF
17,15,"Stassi, M",C
18,8,"Duffy, M",3B
19,429,"Cabrera, M",1B
20,3,"Chavez, J",P
21,6,"Estrada, M",P
22,3,"Fields, D",LF
23,3,"Hamels, C",P
24,6,"Marte, A",LF
25,9,"Weeks, J",2B
26,6,"Wilson, C",P
27,333,"Colabello, C",1B
28,613,"Bogaerts, X",SS
29,226,"Revere, B",LF
30,19,"Aguilar, J",1B
31,38,"Wilson, J",2B
32,638,"Altuve, J",2B
33,67,"Blanks, K",1B
34,390,"Lindor, F",SS
35,529,"Brantley, M",LF
36,71,"Arencibia, J",C
37,551,"Cain, L",CF
38,613,"Fielder, P",DH
39,23,"Barney, D",2B
40,217,"Travis, D",2B
41,565,"Kipnis, J",2B
42,43,"Refsnyder, R",2B
43,590,"Cruz, N",DH
44,173,"Raburn, R",LF
45,416,"Iglesias, J",SS
46,10,"Polanco, J",SS
47,575,"Trout, M",CF
48,599,"Hosmer, E",1B
49,620,"Donaldson, J",3B
0,1,"Carrasco, C",P
1,1,"Pinder, B",P
2,3,"Brett, R",2B
3,3,"Masterson, J",P
4,3,"Pelfrey, M",P
5,2,"Bandy, J",C
6,2,"Feldman, S",P
7,4,"Gallardo, Y",P
8,2,"Noel, R",CF
9,2,"Norris, D",P
10,2,"Nuno, V",P
11,2,"Rodriguez, W",P
12,2,"Samardzija, J",P
13,2,"Wright, Jr., D",P
14,4,"Young, C",P
15,5,"Anderson, B",C
16,25,"Heathcott, S",CF
17,15,"Stassi, M",C
18,8,"Duffy, M",3B
19,429,"Cabrera, M",1B
20,3,"Chavez, J",P
21,6,"Estrada, M",P
22,3,"Fields, D",LF
23,3,"Hamels, C",P
24,6,"Marte, A",LF
25,9,"Weeks, J",2B
26,6,"Wilson, C",P
27,333,"Colabello, C",1B
28,613,"Bogaerts, X",SS
29,226,"Revere, B",LF
30,19,"Aguilar, J",1B
31,38,"Wilson, J",2B
32,638,"Altuve, J",2B
33,67,"Blanks, K",1B
34,390,"Lindor, F",SS
35,529,"Brantley, M",LF
36,71,"Arencibia, J",C
37,551,"Cain, L",CF
38,613,"Fielder, P",DH
39,23,"Barney, D",2B
40,217,"Travis, D",2B
41,565,"Kipnis, J",2B
42,43,"Refsnyder, R",2B
43,590,"Cruz, N",DH
44,173,"Raburn, R",LF
45,416,"Iglesias, J",SS
46,10,"Polanco, J",SS
47,575,"Trout, M",CF
48,599,"Hosmer, E",1B
49,620,"Donaldson, J",3B
